"Company","Year","n"
"MAPLETREE LOGISTICS TRUST",2020,9907
"MAPLETREE LOGISTICS TRUST",2021,12654
"OVERSEA-CHINESE BANKING CORP",2015,2935
"OVERSEA-CHINESE BANKING CORP",2016,2352
"OVERSEA-CHINESE BANKING CORP",2017,7908
"OVERSEA-CHINESE BANKING CORP",2018,13156
"OVERSEA-CHINESE BANKING CORP",2019,15333
"OVERSEA-CHINESE BANKING CORP",2020,18129
"OVERSEA-CHINESE BANKING CORP",2021,30094
"SATS LTD.",2015,971
"SATS LTD.",2016,773
"SATS LTD.",2017,18360
"SATS LTD.",2018,17917
"SATS LTD.",2019,22285
"SATS LTD.",2020,26931
"SATS LTD.",2021,19433
"SEMBCORP INDUSTRIES LTD",2015,13136
"SEMBCORP INDUSTRIES LTD",2016,24284
"SEMBCORP INDUSTRIES LTD",2017,29038
"SEMBCORP INDUSTRIES LTD",2018,30013
"SEMBCORP INDUSTRIES LTD",2019,17220
"SEMBCORP INDUSTRIES LTD",2020,10060
"SEMBCORP INDUSTRIES LTD",2021,11155
"SINGAPORE AIRLINES LTD",2015,21631
"SINGAPORE AIRLINES LTD",2016,24351
"SINGAPORE AIRLINES LTD",2017,24989
"SINGAPORE AIRLINES LTD",2018,28398
"SINGAPORE AIRLINES LTD",2019,36625
"SINGAPORE AIRLINES LTD",2020,56913
"SINGAPORE AIRLINES LTD",2021,66226
"SINGAPORE EXCHANGE LIMITED",2015,1426
"SINGAPORE EXCHANGE LIMITED",2016,4394
"SINGAPORE EXCHANGE LIMITED",2017,5183
"SINGAPORE EXCHANGE LIMITED",2018,5506
"SINGAPORE EXCHANGE LIMITED",2019,5907
"SINGAPORE EXCHANGE LIMITED",2020,7523
"SINGAPORE EXCHANGE LIMITED",2021,18311
"SINGAPORE TECH ENGINEERING LTD",2015,6782
"SINGAPORE TECH ENGINEERING LTD",2016,4492
"SINGAPORE TECH ENGINEERING LTD",2017,5181
"SINGAPORE TECH ENGINEERING LTD",2018,4861
"SINGAPORE TECH ENGINEERING LTD",2019,7571
"SINGAPORE TECH ENGINEERING LTD",2020,19670
"SINGAPORE TECH ENGINEERING LTD",2021,39229
"SINGTEL",2015,22156
"SINGTEL",2016,24484
"SINGTEL",2017,28065
"SINGTEL",2018,25969
"SINGTEL",2019,26096
"SINGTEL",2020,28489
"SINGTEL",2021,36588
"THAI BEVERAGE PUBLIC CO LTD",2015,41541
"THAI BEVERAGE PUBLIC CO LTD",2016,39760
"THAI BEVERAGE PUBLIC CO LTD",2017,44212
"THAI BEVERAGE PUBLIC CO LTD",2018,51771
"THAI BEVERAGE PUBLIC CO LTD",2019,66461
"THAI BEVERAGE PUBLIC CO LTD",2020,74222
"THAI BEVERAGE PUBLIC CO LTD",2021,82926
"UNITED OVERSEAS BANK LTD",2015,7135
"UNITED OVERSEAS BANK LTD",2016,8781
"UNITED OVERSEAS BANK LTD",2017,12448
"UNITED OVERSEAS BANK LTD",2018,17996
"UNITED OVERSEAS BANK LTD",2019,39762
"UNITED OVERSEAS BANK LTD",2020,59614
"UNITED OVERSEAS BANK LTD",2021,70205
"UOL GROUP LIMITED",2015,15235
"UOL GROUP LIMITED",2016,9999
"UOL GROUP LIMITED",2017,17914
"UOL GROUP LIMITED",2018,17262
"UOL GROUP LIMITED",2019,18594
"UOL GROUP LIMITED",2020,20531
"UOL GROUP LIMITED",2021,23889
"VENTURE CORPORATION LIMITED",2017,6499
"VENTURE CORPORATION LIMITED",2018,5695
"VENTURE CORPORATION LIMITED",2019,9817
"VENTURE CORPORATION LIMITED",2020,12413
"VENTURE CORPORATION LIMITED",2021,11680
"WILMAR INTERNATIONAL LIMITED",2015,25106
"WILMAR INTERNATIONAL LIMITED",2016,25218
"WILMAR INTERNATIONAL LIMITED",2017,44865
"WILMAR INTERNATIONAL LIMITED",2018,42557
"WILMAR INTERNATIONAL LIMITED",2019,44013
"WILMAR INTERNATIONAL LIMITED",2020,64232
"WILMAR INTERNATIONAL LIMITED",2021,68472
"YANGZIJIANG SHIPBLDG HLDGS LTD",2015,1827
"YANGZIJIANG SHIPBLDG HLDGS LTD",2016,2244
"YANGZIJIANG SHIPBLDG HLDGS LTD",2017,3495
"YANGZIJIANG SHIPBLDG HLDGS LTD",2018,1117
"YANGZIJIANG SHIPBLDG HLDGS LTD",2019,9997
"YANGZIJIANG SHIPBLDG HLDGS LTD",2020,8857
"YANGZIJIANG SHIPBLDG HLDGS LTD",2021,9945
